SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
1;-0.6921734650110625;0.0016267701163077684;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.23016612571889872;-0.4249780601504922;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
0;0.23184121357326506;1.2439964517806712;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;1.2482573600160254;-0.5721179243919322;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;-0.13776465786046596;-0.565262411917374;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;-0.5997719971526297;-0.3053013788821318;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;1.6178632314497565;-0.2960909978725631;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;0.9710529564407272;-0.5451174885108852;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1;-0.9693778685863608;-0.22727879140918641;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.6921734650110625;0.7459194762103661;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.6921734650110625;-0.04056890916459731;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;1.433060295732891;5.061416590357352;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0.1394397457148323;-0.3856102797653424;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
0;0.1394397457148323;0.4963068392554693;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;-0.507370529294197;0.11715243858132308;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;-1.4313852078785245;-0.9108796455659821;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
